species	status	job_id	submitted	finished	result_rows	lyric_transcripts	gffread_transcripts	all_secis	filtered_secis	predicted_overall	predicted_all_secis	predicted_filtered_secis	candidates	notes
Babesia_duncani	done	28607869	2026-09-21 16:36	2026-09-21 18:56	12080	12133	12133	116	3	1971	28	1	1	gffread 57 broken ~70bp fragments dropped in recode (12133->12076 unique, 99.5%), user accepted 2026-09-22; candidate agat-rna-5082 (score_diff 0.81); work dir removed
Chaetoceros_neogracilis	pending													
Chlamydomonas_reinhardtii	pending													
Chlorella_sorokiniana	pending													
Conticribra_weissflogii	pending													
Cryptosporidium_parvum_Iowa_II	pending													
Cyanidiococcus_yangmingshanensis	pending													
Cyanidioschyzon_merolae_strain_10D	pending													
Cyanidium_caldarium	pending													
Cylindrotheca_closterium	pending													
Dunaliella_salina	pending													
Eimeria_necatrix	pending													
Entamoeba_histolytica_HM-1IMSS	pending													
Emiliania_huxleyi_CCMP1516	pending													
Galdieria_yellowstonensis	pending													
Giardia_duodenalis	pending													
Giardia_muris	pending													
Haematococcus_lacustris	pending													
Hamiltosporidium_tvaerminnensis	pending													
Hydrurus_foetidus	pending													
Isochrysis_galbana	pending													
Lagenidium_giganteum	pending													
Leishmania_donovani	pending													
Leishmania_infantum_JPCM5	pending													
Micractinium_conductrix	pending													
Micromonas_pusilla_CCMP1545	pending													
Naegleria_gruberi	pending													
Paramecium_bursaria	pending													
Paramecium_tetraurelia	pending													
Phytophthora_agathidicida	pending													
Plasmodium_berghei_ANKA	pending													
Plasmodium_falciparum_3D7	pending													
Plasmodium_vivax	pending													
Plasmodium_yoelii_yoelii	pending													
Pyropia_haitanensis	pending													
Pythium_sp._B7052-1	pending													
Pyropia_yezoensis	pending													
Sarcocystis_neurona	pending													
Storeatula_major	pending													
Symbiodinium_kawagutii	pending													
Tetradesmus_obliquus	pending													
Toxoplasma_gondii_ME49	pending													
Trichomonas_vaginalis	pending													
Tritrichomonas_foetus	pending													
Undaria_pinnatifida	pending													
Vairimorpha_ceranae	pending													
