species	status	job_id	submitted	finished	result_rows	lyric_transcripts	gffread_transcripts	all_secis	filtered_secis	predicted_overall	predicted_all_secis	predicted_filtered_secis	candidates	notes
Babesia_duncani	done	28607869	2026-09-21 16:36	2026-09-21 18:56	12080	12133	12133	116	3	1971	28	1	1	gffread 57 broken ~70bp fragments dropped in recode (12133->12076 unique, 99.5%), user accepted 2026-09-22; candidate agat-rna-5082 (score_diff 0.81); work dir removed
Chaetoceros_neogracilis	done	28633444	2026-09-22 13:03	2026-09-22 13:37	87100	88400	88400	1762	16	22061	595	6	6	1320 transcripts >8kb dropped by old hardcoded 8000bp limit in recode_any_TGA.py (result 87080 unique = 98.5% of gffread; expected, not a bug); limit now a --limit input (commit 43e4aae, protists=100000) effective from Chlamydomonas on; not re-run per user 2026-09-22; attempts 1-2 (28627359 publishDir collision, 28633040 collectFile EISDIR) fixed bb7da54/e87c972; top candidate agat-rna-20420 (score_diff 15.75)
Chlamydomonas_reinhardtii	done	28639838	2026-09-22 15:05	2026-09-22 16:02	19529	19527	19526	157	2	3559	36	1	1	first run with --limit 100000 (43e4aae) - long transcripts now processed; gffread 19526 vs lyric 19527 (1 transcript, gffread quirk); old Apr-07 run backed up ORFsearch_old_20260922_150519; double-gz LyRic ref fixed in place 2026-09-22 (orig kept as *_doublegz_backup_20260922); candidate rna-XM_001696020.2 (score_diff 0.37); work dir removed
Chlorella_sorokiniana	done	28645869	2026-09-22 17:13	2026-09-22 17:44	26460	26460	26460	82	7	8576	29	3	3	re-run after orphan-CDS fix (51610a3); 100% three-way match result=gffread=lyric=26460; top candidate agat-rna-13006 (2.12); attempt1 28642581 output (19907 spurious CDS-only transcripts) backed up ORFsearch_old_20260922_171225
Conticribra_weissflogii	running	28713877	2026-09-23 11:34											input is GenBank reference annotation (14490 mRNA, source Genbank), not LyRic transcriptome; reference gidRef GFF was double-gzipped -> recompressed in place (backup _doublegz_backup_20260922); 0 orphan CDS parents; baseline lyric=14490; attempt1 28647231 (submitted 09-22 17:55) scancelled by user 09-23 10:12 after 16h16m stall: SPLIT_IF_TOO_LARGE serialized at maxForks 1 (added c0ffc43 for GH Actions) - 7719 scaffold tasks x ~65s = ~140h at 1 job at a time, only 639/7719 done; other stages ran 18-38 parallel. Fixed e463458 (removed process-level maxForks; github profile keeps global maxForks=1 so CI unchanged). partial attempt-1 output backed up ORFsearch_old_20260923_113417; pre-flight re-passed (all gz OK, lyric 14490 mRNA); NOTE: plain `nextflow run` (no -resume) does NOT reuse attempt-1 workdir cache - all stages re-run (learned 09-23); run is parallel everywhere now, ETA ~16-25h
Cryptosporidium_parvum_Iowa_II	pending													
Cyanidiococcus_yangmingshanensis	pending													
Cyanidioschyzon_merolae_strain_10D	pending													
Cyanidium_caldarium	pending													
Cylindrotheca_closterium	pending													
Dunaliella_salina	pending													
Eimeria_necatrix	pending													
Entamoeba_histolytica_HM-1IMSS	pending													
Emiliania_huxleyi_CCMP1516	pending													
Galdieria_yellowstonensis	pending													
Giardia_duodenalis	pending													
Giardia_muris	pending													
Haematococcus_lacustris	pending													
Hamiltosporidium_tvaerminnensis	pending													
Hydrurus_foetidus	pending													
Isochrysis_galbana	pending													
Lagenidium_giganteum	pending													
Leishmania_donovani	pending													
Leishmania_infantum_JPCM5	pending													
Micractinium_conductrix	pending													
Micromonas_pusilla_CCMP1545	pending													
Naegleria_gruberi	pending													
Paramecium_bursaria	pending													
Paramecium_tetraurelia	pending													
Phytophthora_agathidicida	pending													
Plasmodium_berghei_ANKA	pending													
Plasmodium_falciparum_3D7	pending													
Plasmodium_vivax	pending													
Plasmodium_yoelii_yoelii	pending													
Pyropia_haitanensis	pending													
Pythium_sp._B7052-1	pending													
Pyropia_yezoensis	pending													
Sarcocystis_neurona	pending													
Storeatula_major	pending													
Symbiodinium_kawagutii	pending													
Tetradesmus_obliquus	pending													
Toxoplasma_gondii_ME49	pending													
Trichomonas_vaginalis	pending													
Tritrichomonas_foetus	pending													
Undaria_pinnatifida	pending													
Vairimorpha_ceranae	pending													
